rank;name;artist;date_added;popularity
5;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-21 09:51:09;98
6;Merry Christmas Everyone;Shakin' Stevens;2023-12-21 09:51:09;91
7;Santa Tell Me;Ariana Grande;2023-12-21 09:51:09;96
8;Jingle Bell Rock;Bobby Helms;2023-12-21 09:51:09;94
9;Kevin sam w domu;Blacha 2115;2023-12-21 09:51:09;58
10;BFF;bambi;2023-12-21 09:51:09;75
11;Fluid;ReTo;2023-12-21 09:51:09;74
12;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-21 09:51:09;95
13;Driving Home for Christmas;Chris Rea;2023-12-21 09:51:09;75
14;Stan;Gibbs;2023-12-21 09:51:09;66
15;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-21 09:51:09;79
16;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-21 09:51:09;87
17;Holly Jolly Christmas;Michael Bublé;2023-12-21 09:51:09;83
18;Sleigh Ride;The Ronettes;2023-12-21 09:51:09;83
19;Jolie Jolie;Blacha 2115;2023-12-21 09:51:09;72
20;greedy;Tate McRae;2023-12-21 09:51:09;99
21;Underneath the Tree;Kelly Clarkson;2023-12-21 09:51:09;86
22;Mam Cię;Paluch;2023-12-21 09:51:09;71
23;Feliz Navidad;José Feliciano;2023-12-21 09:51:09;88
24;Dzięki, że jesteś;Lanberry;2023-12-21 09:51:09;69
25;Autumn Dance;L.U.C.;2023-12-21 09:51:09;49
26;Nicea;PRO8L3M;2023-12-21 09:51:09;66
27;Kto Wie?;De Su;2023-12-21 09:51:09;68
28;Coraz Bliżej Święta;Margaret;2023-12-21 09:51:09;67
29;Ne Rozumiju;Vixen;2023-12-21 09:51:09;68
30;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-21 09:51:09;89
31;Całkiem Nowa Bajka;Kleks;2023-12-21 09:51:09;63
32;Miyabi;PRO8L3M;2023-12-21 09:51:09;68
33;My Only Wish (This Year);Britney Spears;2023-12-21 09:51:09;88
34;Dzień jeden w roku;Czerwone Gitary;2023-12-21 09:51:09;66
35;Nim Zajdzie Słońce;Smolasty;2023-12-21 09:51:09;72
36;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-21 09:51:09;90
37;CEO;Asster;2023-12-21 09:51:09;62
38;JEREMY SOCHAN;Oki;2023-12-21 09:51:09;72
39;Kulig;Kaz Bałagane;2023-12-21 09:51:09;68
40;Explosion Ech poleczko - DNSQ Remix;Kalwi & Remi;2023-12-21 09:51:09;70
41;Strangers;Kenya Grace;2023-12-21 09:51:09;96
42;Byłem człowiekiem;PRO8L3M;2023-12-21 09:51:09;68
43;Overdrive (feat. Norma Jean Martine);Ofenbach;2023-12-21 09:51:09;83
44;5 INFLUENCEREK;Zeamsone;2023-12-21 09:51:09;68
45;Happy Xmas (War Is Over) - Remastered 2010;John Lennon;2023-12-21 09:51:09;92
46;Ciapakwybujany;GM2L;2023-12-21 09:51:09;64
47;NIE MA CIĘ;Fukaj;2023-12-21 09:51:09;68
48;Thank God It's Christmas - 2011 Remaster;Queen;2023-12-21 09:51:09;75
49;ITALODISCO;The Kolors;2023-12-21 09:51:09;79
50;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;2023-12-21 09:51:09;91
1;Last Christmas - Single Version;Wham!;2023-12-22 09:24:47;89
2;All I Want for Christmas Is You;Mariah Carey;2023-12-22 09:24:47;100
3;HIPNOZA;NIKOŚ;2023-12-22 09:24:47;73
4;Snowman;Sia;2023-12-22 09:24:47;94
5;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-22 09:24:47;98
6;Merry Christmas Everyone;Shakin' Stevens;2023-12-22 09:24:47;91
7;Santa Tell Me;Ariana Grande;2023-12-22 09:24:47;96
8;Jingle Bell Rock;Bobby Helms;2023-12-22 09:24:47;94
9;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-22 09:24:47;95
10;Driving Home for Christmas;Chris Rea;2023-12-22 09:24:47;75
11;BFF;bambi;2023-12-22 09:24:47;75
12;Kevin sam w domu;Blacha 2115;2023-12-22 09:24:47;61
13;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-22 09:24:47;79
14;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-22 09:24:47;87
15;Fluid;ReTo;2023-12-22 09:24:47;74
16;Sleigh Ride;The Ronettes;2023-12-22 09:24:47;83
17;Holly Jolly Christmas;Michael Bublé;2023-12-22 09:24:47;83
18;Stan;Gibbs;2023-12-22 09:24:47;65
19;Underneath the Tree;Kelly Clarkson;2023-12-22 09:24:47;86
20;Feliz Navidad;José Feliciano;2023-12-22 09:24:47;88
21;Coraz Bliżej Święta;Margaret;2023-12-22 09:24:47;68
22;Jolie Jolie;Blacha 2115;2023-12-22 09:24:47;72
23;greedy;Tate McRae;2023-12-22 09:24:47;99
24;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-22 09:24:47;89
25;Kto Wie?;De Su;2023-12-22 09:24:47;68
26;Mam Cię;Paluch;2023-12-22 09:24:47;71
27;Dzięki, że jesteś;Lanberry;2023-12-22 09:24:47;69
28;Autumn Dance;L.U.C.;2023-12-22 09:24:47;49
29;My Only Wish (This Year);Britney Spears;2023-12-22 09:24:47;88
30;Dzień jeden w roku;Czerwone Gitary;2023-12-22 09:24:47;66
31;Nicea;PRO8L3M;2023-12-22 09:24:47;66
32;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-22 09:24:47;90
33;Ne Rozumiju;Vixen;2023-12-22 09:24:47;68
34;Całkiem Nowa Bajka;Kleks;2023-12-22 09:24:47;63
35;Nim Zajdzie Słońce;Smolasty;2023-12-22 09:24:47;72
36;Happy Xmas (War Is Over) - Remastered 2010;John Lennon;2023-12-22 09:24:47;92
37;Miyabi;PRO8L3M;2023-12-22 09:24:47;68
38;JEREMY SOCHAN;Oki;2023-12-22 09:24:47;72
39;Thank God It's Christmas - 2011 Remaster;Queen;2023-12-22 09:24:47;75
40;Kulig;Kaz Bałagane;2023-12-22 09:24:47;68
41;Explosion Ech poleczko - DNSQ Remix;Kalwi & Remi;2023-12-22 09:24:47;70
42;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;2023-12-22 09:24:47;91
43;Strangers;Kenya Grace;2023-12-22 09:24:47;96
44;Z kopyta kulig rwie;Skaldowie;2023-12-22 09:24:47;66
45;5 INFLUENCEREK;Zeamsone;2023-12-22 09:24:47;68
46;CEO;Asster;2023-12-22 09:24:47;62
47;Mistletoe;Justin Bieber;2023-12-22 09:24:47;92
48;Ding dong;Kayah;2023-12-22 09:24:47;66
49;Overdrive (feat. Norma Jean Martine);Ofenbach;2023-12-22 09:24:47;83
50;Byłem człowiekiem;PRO8L3M;2023-12-22 09:24:47;68
1;Last Christmas - Single Version;Wham!;2023-12-23 10:22:22;89
2;All I Want for Christmas Is You;Mariah Carey;2023-12-23 10:22:22;100
3;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-23 10:22:22;98
4;Snowman;Sia;2023-12-23 10:22:22;94
5;Merry Christmas Everyone;Shakin' Stevens;2023-12-23 10:22:22;91
6;Santa Tell Me;Ariana Grande;2023-12-23 10:22:22;96
7;HIPNOZA;NIKOŚ;2023-12-23 10:22:22;73
8;Jingle Bell Rock;Bobby Helms;2023-12-23 10:22:22;94
9;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-23 10:22:22;95
10;Driving Home for Christmas;Chris Rea;2023-12-23 10:22:22;75
11;Sleigh Ride;The Ronettes;2023-12-23 10:22:22;83
12;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-23 10:22:22;79
13;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-23 10:22:22;87
14;Holly Jolly Christmas;Michael Bublé;2023-12-23 10:22:22;83
15;Kevin sam w domu;Blacha 2115;2023-12-23 10:22:22;62
16;Feliz Navidad;José Feliciano;2023-12-23 10:22:22;88
17;Kto Wie?;De Su;2023-12-23 10:22:22;68
18;Dzień jeden w roku;Czerwone Gitary;2023-12-23 10:22:22;67
19;Underneath the Tree;Kelly Clarkson;2023-12-23 10:22:22;86
20;BFF;bambi;2023-12-23 10:22:22;75
21;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-23 10:22:22;89
22;Coraz Bliżej Święta;Margaret;2023-12-23 10:22:22;68
23;Z kopyta kulig rwie;Skaldowie;2023-12-23 10:22:22;66
24;Fluid;ReTo;2023-12-23 10:22:22;73
25;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-23 10:22:22;91
26;Stan;Gibbs;2023-12-23 10:22:22;65
27;My Only Wish (This Year);Britney Spears;2023-12-23 10:22:22;88
28;Jolie Jolie;Blacha 2115;2023-12-23 10:22:22;72
29;Happy Xmas (War Is Over) - Remastered 2010;John Lennon;2023-12-23 10:22:22;92
30;Ding dong;Kayah;2023-12-23 10:22:22;66
31;Thank God It's Christmas - 2011 Remaster;Queen;2023-12-23 10:22:22;75
32;Dzięki, że jesteś;Lanberry;2023-12-23 10:22:22;69
33;Zaśnieżone miasta;Gromee;2023-12-23 10:22:22;65
34;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;2023-12-23 10:22:22;91
35;greedy;Tate McRae;2023-12-23 10:22:22;98
36;Mistletoe and Wine;Cliff Richard;2023-12-23 10:22:22;79
37;Autumn Dance;L.U.C.;2023-12-23 10:22:22;49
38;Mam Cię;Paluch;2023-12-23 10:22:22;71
39;Miyabi;PRO8L3M;2023-12-23 10:22:22;68
40;Mistletoe;Justin Bieber;2023-12-23 10:22:22;92
41;Całkiem Nowa Bajka;Kleks;2023-12-23 10:22:22;63
42;Merry Christmas;Ed Sheeran;2023-12-23 10:22:22;89
43;Nicea;PRO8L3M;2023-12-23 10:22:22;66
